Player,Model I,Model II,2021-22 Actual Score
Michael Raffl,0.0743,0.0734,0.0833
Garnet Hathaway,0.0973,0.0961,0.1243
Nick Schmaltz,0.0964,0.0956,0.1007
Brendan Lemieux,0.1099,0.1105,0.1176
Ryan Donato,0.1601,0.1576,0.1429
Jack Roslovic,0.1042,0.1032,0.1167
Andrew Cogliano,0.0993,0.1025,0.0839
Milan Lucic,0.0696,0.0682,0.0935
Joel Armia,0.1363,0.1346,0.1237
Barclay Goodrow,0.0919,0.0898,0.0871
Jujhar Khaira,0.0816,0.0833,0.0983
Ryan Carpenter,0.1051,0.1027,0.0888
Tomas Nosek,0.1250,0.1228,0.0945
Pavel Zacha,0.0992,0.1017,0.1123
Roope Hintz,0.1179,0.1221,0.1442
Luke Kunin,0.1365,0.1349,0.1097
Zach Aston-Reese,0.1301,0.1286,0.0961
Filip Chytil,0.1419,0.1439,0.1544
Jason Spezza,0.1122,0.1117,0.1233
Austin Watson,0.1028,0.1056,0.1196
Cedric Paquette,0.0856,0.0857,0.0843
Warren Foegele,0.1278,0.1277,0.1325
Casey Mittelstadt,0.0899,0.0897,0.1166
Colton Sceviour,0.1267,0.1235,0.1159
Matt Martin,0.0919,0.0875,0.0812
Joel Eriksson Ek,0.1393,0.1398,0.1627
Noel Acciari,0.1054,0.1035,0.1461
Michael Rasmussen,0.0947,0.0945,0.1157
Nate Thompson,0.0519,0.0510,0.0624
Darren Helm,0.1104,0.1092,0.1353
Derek Grant,0.1031,0.1052,0.1219
Johan Larsson,0.0721,0.0733,0.0668
Rocco Grimaldi,0.1256,0.1269,0.1247
Pierre-Edouard Bellemare,0.1038,0.1033,0.0742
Andrew Mangiapane,0.1145,0.1147,0.1427
Trevor Lewis,0.1344,0.1346,0.1171
Sam Gagner,0.1298,0.1266,0.1250
Riley Nash,0.0805,0.0782,0.0674
Jean-Gabriel Pageau,0.0937,0.0919,0.0944
Conor Garland,0.1604,0.1611,0.1641
Tyler Pitlick,0.0992,0.1050,0.0820
Tage Thompson,0.1720,0.1690,0.1702
Chandler Stephenson,0.0701,0.0681,0.0726
Valeri Nichushkin,0.1246,0.1262,0.1653
