Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Artem Anisimov,F,5/24/1988,,,0.017,0.023,0.016,0.016,0.021,0.014,0.013,0.012,0.017,0.011,0.010,0.008,
Artemi Panarin,F,10/30/1991,,,,,,,,,0.016,0.015,0.014,0.018,0.012,0.012,0.011
Arthur Kaliyev,F,6/26/2001,,,,,,,,,,,,,,,0.018
Arttu Ruotsalainen,F,10/29/1997,,,,,,,,,,,,,,,
Artturi Lehkonen,F,7/4/1995,,,,,,,,,,0.047,0.025,0.016,,,0.014
Austin Czarnik,F,12/12/1992,,,,,,,,,,0.027,,0.014,,,
Austin Poganski,F,2/16/1996,,,,,,,,,,,,,,,
Austin Wagner,F,6/23/1997,,,,,,,,,,,,,,,
Austin Watson,F,1/13/1992,,,,,,,,,,,,,,,
Auston Matthews,F,9/17/1997,,,,,,,,,,0.018,0.033,0.034,0.017,0.022,0.016
Axel Jonsson-Fjallby,F,2/10/1998,,,,,,,,,,,,,,,
B.J. Crombeen,F,7/10/1985,,,,,,,,,,,,,,,
Barclay Goodrow,F,2/26/1993,,,,,,,,,,,,,0.014,,0.012
Barrett Hayton,F,6/9/2000,,,,,,,,,,,,,,0.018,0.017
Barry Tallackson,F,4/14/1983,,,,,,,,,,,,,,,
Bates Battaglia,F,12/13/1975,,,,,,,,,,,,,,,
Beau Bennett,F,11/27/1991,,,,,,0.017,,0.016,0.016,0.024,,,,,
Ben Eager,F,1/22/1984,,,,,,,,,,,,,,,
Ben Guite,F,7/17/1978,,,,,,,,,,,,,,,
Ben Hanowski,F,10/18/1990,,,,,,,,,,,,,,,
Ben Holmstrom,F,4/9/1987,,,,,,,,,,,,,,,
Ben Jones,F,2/26/1999,,,,,,,,,,,,,,,
Ben Maxwell,F,3/30/1988,,,,,,,,,,,,,,,
Ben Meyers,F,11/15/1998,,,,,,,,,,,,,,,
Ben Ondrus,F,6/25/1982,,,,,,,,,,,,,,,
Ben Smith,F,7/11/1988,,,,,,,,,,,,,,,
Ben Street,F,2/13/1987,,,,,,,,,,,,,,,
Ben Thomson,F,1/16/1993,,,,,,,,,,,,,,,
Ben Walter,F,5/11/1984,,,,,,,,,,,,,,,
Benn Ferriero,F,4/29/1987,,,,0.016,,,,,,,,,,,
Benoit Pouliot,F,9/29/1986,,0.017,0.026,0.016,0.015,0.014,0.013,0.021,0.012,0.011,0.010,,,,
Benoit-Olivier Groulx,F,2/6/2000,,,,,,,,,,,,,,,
Bill Guerin,F,11/9/1970,0.003,0.005,0.001,,,,,,,,,,,,
Bill Thomas,F,6/20/1983,,,,,,,,,,,,,,,
Blair Betts,F,2/16/1980,,,,,,,,,,,,,,,
Blair Jones,F,9/27/1986,,,,,0.015,,,,,,,,,,
Blake Coleman,F,11/28/1991,,,,,,,,,,,,0.013,,,
Blake Comeau,F,2/18/1986,0.017,0.017,0.016,0.021,0.015,,,0.030,0.012,0.011,,,,,
Blake Geoffrion,F,2/3/1988,,,,,,,,,,,,,,,
Blake Lizotte,F,12/13/1997,,,,,,,,,,,,,0.017,,
Blake Pietila,F,2/20/1993,,,,,,,,,,,,,,,
Blake Speers,F,1/2/1997,,,,,,,,,,,,,,,
Blake Wheeler,F,8/31/1986,,0.017,0.016,0.016,0.015,0.014,0.013,0.016,0.012,0.015,0.010,0.015,0.016,0.013,0.005
Bo Horvat,F,4/5/1995,,,,,,,,,0.025,0.017,0.017,0.020,0.019,0.020,0.014
Bobby Brink,F,7/8/2001,,,,,,,,,,,,,,,0.018
Bobby Butler,F,4/26/1987,,,,0.029,0.016,0.015,,,,,,,,,
Bobby Farnham,F,1/21/1989,,,,,,,,,,,,,,,
Bobby Holik,F,1/1/1971,0.003,,,,,,,,,,,,,,
Bobby Ryan,F,3/17/1987,0.018,0.017,0.017,0.016,0.016,0.037,0.014,0.022,0.012,0.025,0.016,0.010,0.025,0.007,
Bokondji Imama,F,8/3/1996,,,,,,,,,,,,,,,
Boo Nieves,F,1/23/1994,,,,,,,,,,,,,,,
Boone Jenner,F,6/15/1993,,,,,,,0.048,0.017,0.017,0.016,0.016,0.015,0.014,0.047,0.024
Boris Katchouk,F,6/18/1998,,,,,,,,,,,,,,,
Borna Rendulic,F,3/25/1992,,,,,,,,,,,,,,,
Boyd Devereaux,F,4/16/1978,,,,,,,,,,,,,,,
Boyd Gordon,F,10/19/1983,,,,,,,0.011,0.010,,,,,,,
Bracken Kearns,F,5/12/1981,,,,,,,,,,,,,,,
Brad Boyes,F,4/17/1982,0.018,0.017,0.017,0.027,0.012,0.011,0.015,0.015,0.021,,,,,,
Brad Isbister,F,5/7/1977,,,,,,,,,,,,,,,
Brad Larsen,F,6/28/1977,,,,,,,,,,,,,,,
Brad Malone,F,5/20/1989,,,,,,,,,,,,,,,
