Player,Model I,Model II,Model III,Model IV,2021-22 Actual Score
Lars Eller,0.0116,0.0115,0.0137,0.0146,0.0136
Antoine Roussel,0.0066,0.0057,0.0093,0.0085,0.0073
Tyler Bozak,0.0067,0.0063,0.0072,0.0118,0.0038
Richard Panik,0.0092,0.0088,0.0103,0.0102,0.0000
Craig Smith,0.0140,0.0131,0.0144,0.0166,0.0170
Casey Cizikas,0.0130,0.0123,0.0129,0.0142,0.0103
Rickard Rakell,0.0109,0.0108,0.0150,0.0114,0.0137
Scott Laughton,0.0143,0.0143,0.0145,0.0147,0.0095
Nikolaj Ehlers,0.0209,0.0208,0.0210,0.0209,0.0245
Oskar Lindblom,0.0151,0.0151,0.0151,0.0152,0.0123
Jakob Silfverberg,0.0125,0.0113,0.0123,0.0140,0.0058
Tyler Toffoli,0.0187,0.0187,0.0193,0.0201,0.0106
Charlie Coyle,0.0089,0.0087,0.0097,0.0098,0.0115
Nolan Patrick,0.0077,0.0065,0.0106,0.0069,0.0081
Jesperi Kotkaniemi,0.0113,0.0106,0.0114,0.0116,0.0168
Adam Henrique,0.0153,0.0145,0.0156,0.0178,0.0148
Jason Zucker,0.0134,0.0137,0.0136,0.0152,0.0110
Blake Coleman,0.0161,0.0155,0.0162,0.0177,0.0142
Conor Sheary,0.0136,0.0138,0.0140,0.0148,0.0182
Kevin Fiala,0.0171,0.0171,0.0175,0.0172,0.0235
Jared McCann,0.0141,0.0139,0.0142,0.0141,0.0183
Clayton Keller,0.0142,0.0140,0.0144,0.0144,0.0204
Paul Byron,0.0105,0.0091,0.0101,0.0125,0.0137
Ryan Strome,0.0134,0.0138,0.0135,0.0142,0.0135
J.T. Miller,0.0130,0.0125,0.0132,0.0137,0.0184
Colton Sissons,0.0110,0.0109,0.0110,0.0115,0.0059
Danton Heinen,0.0101,0.0101,0.0107,0.0101,0.0171
Derek Ryan,0.0059,0.0056,0.0098,0.0106,0.0139
Patrik Laine,0.0151,0.0145,0.0151,0.0153,0.0244
Alex Iafallo,0.0101,0.0101,0.0102,0.0107,0.0117
Leo Komarov,0.0028,0.0033,0.0067,0.0065,0.0000
Jordan Staal,0.0089,0.0089,0.0130,0.0124,0.0150
Ondrej Palat,0.0091,0.0091,0.0109,0.0106,0.0157
Alexander Kerfoot,0.0098,0.0097,0.0106,0.0100,0.0119
Pavel Buchnevich,0.0168,0.0168,0.0169,0.0168,0.0190
Ryan Hartman,0.0100,0.0098,0.0115,0.0103,0.0272
Anthony Beauvillier,0.0168,0.0171,0.0169,0.0168,0.0064
Brandon Tanev,0.0120,0.0120,0.0122,0.0141,0.0154
Robert Thomas,0.0097,0.0095,0.0099,0.0100,0.0138
Patric Hornqvist,0.0124,0.0114,0.0146,0.0183,0.0117
Jordan Eberle,0.0138,0.0137,0.0141,0.0159,0.0143
Mats Zuccarello,0.0105,0.0104,0.0106,0.0153,0.0158
Taylor Hall,0.0116,0.0109,0.0137,0.0125,0.0119
Radek Faksa,0.0079,0.0080,0.0113,0.0081,0.0028
Brock McGinn,0.0104,0.0106,0.0121,0.0108,0.0145
Connor Brown,0.0136,0.0136,0.0139,0.0139,0.0091
Anthony Duclair,0.0156,0.0157,0.0158,0.0157,0.0242
Jesper Bratt,0.0141,0.0144,0.0144,0.0151,0.0198
Nick Cousins,0.0074,0.0076,0.0099,0.0084,0.0082
Mark Jankowski,0.0100,0.0101,0.0100,0.0105,0.0091
Jordan Martinook,0.0073,0.0071,0.0122,0.0079,0.0096
Andrew Copp,0.0113,0.0112,0.0119,0.0116,0.0152
Andre Burakovsky,0.0206,0.0208,0.0210,0.0211,0.0158
Adrian Kempe,0.0112,0.0111,0.0112,0.0112,0.0236
Ivan Barbashev,0.0110,0.0112,0.0120,0.0111,0.0187
Jordan Greenway,0.0097,0.0093,0.0098,0.0095,0.0114
Mathieu Joseph,0.0164,0.0165,0.0164,0.0167,0.0121
Mathieu Perreault,0.0091,0.0093,0.0092,0.0129,0.0163
Calle Jarnkrok,0.0120,0.0118,0.0122,0.0140,0.0117
Vladislav Namestnikov,0.0106,0.0108,0.0141,0.0117,0.0157
Mattias Janmark,0.0055,0.0058,0.0091,0.0065,0.0083
Lawson Crouse,0.0116,0.0110,0.0145,0.0117,0.0179
Wayne Simmonds,0.0064,0.0066,0.0108,0.0091,0.0077
Tanner Pearson,0.0131,0.0126,0.0131,0.0139,0.0139
Devin Shore,0.0093,0.0093,0.0095,0.0105,0.0098
Jason Dickinson,0.0095,0.0095,0.0098,0.0097,0.0070
Nick Ritchie,0.0121,0.0122,0.0129,0.0122,0.0172
Evan Rodrigues,0.0097,0.0098,0.0110,0.0104,0.0109
Drake Caggiula,0.0125,0.0117,0.0124,0.0126,0.0086
Marcus Johansson,0.0088,0.0086,0.0088,0.0106,0.0064
Alex Chiasson,0.0081,0.0080,0.0084,0.0101,0.0107
Nic Dowd,0.0119,0.0118,0.0121,0.0142,0.0115
Josh Archibald,0.0128,0.0126,0.0129,0.0138,0.0000
Sean Kuraly,0.0071,0.0073,0.0093,0.0076,0.0137
Miles Wood,0.0154,0.0158,0.0156,0.0160,0.0000
Sam Bennett,0.0138,0.0141,0.0148,0.0138,0.0232
William Nylander,0.0169,0.0172,0.0174,0.0178,0.0174
Brett Howden,0.0073,0.0066,0.0111,0.0070,0.0169
Tyson Jost,0.0110,0.0108,0.0133,0.0109,0.0094
Kyle Clifford,0.0089,0.0086,0.0120,0.0099,0.0047
Nick Bjugstad,0.0122,0.0120,0.0138,0.0131,0.0105
Jesper Fast,0.0079,0.0078,0.0100,0.0096,0.0123
Vincent Trocheck,0.0107,0.0109,0.0132,0.0116,0.0140
Adam Lowry,0.0098,0.0098,0.0104,0.0102,0.0104
Luke Glendening,0.0065,0.0067,0.0092,0.0090,0.0093
Alex Galchenyuk,0.0099,0.0101,0.0129,0.0101,0.0081
J.T. Compher,0.0140,0.0146,0.0142,0.0147,0.0145
Cal Clutterbuck,0.0030,0.0038,0.0085,0.0068,0.0071
Carl Hagelin,0.0065,0.0064,0.0120,0.0097,0.0046
Chris Wagner,0.0055,0.0057,0.0111,0.0063,0.0000
Zach Sanford,0.0133,0.0122,0.0134,0.0134,0.0080
David Kampf,0.0049,0.0043,0.0097,0.0047,0.0087
Jeff Carter,0.0125,0.0113,0.0130,0.0214,0.0140
Blake Comeau,0.0047,0.0053,0.0087,0.0098,0.0159
Kyle Okposo,0.0051,0.0047,0.0091,0.0076,0.0109
Derick Brassard,0.0064,0.0062,0.0083,0.0103,0.0135
Travis Boyd,0.0100,0.0097,0.0100,0.0108,0.0143
Adam Erne,0.0090,0.0090,0.0102,0.0091,0.0062
Christian Fischer,0.0095,0.0085,0.0114,0.0089,0.0067
Daniel Sprong,0.0248,0.0253,0.0253,0.0256,0.0162
Ryan Reaves,0.0045,0.0046,0.0096,0.0086,0.0069
Pat Maroon,0.0056,0.0054,0.0085,0.0085,0.0089
Marcus Foligno,0.0140,0.0142,0.0143,0.0171,0.0190
Riley Sheahan,0.0066,0.0064,0.0087,0.0079,0.0059
Josh Leivo,0.0138,0.0137,0.0140,0.0145,0.0155
Michael Raffl,0.0066,0.0067,0.0086,0.0103,0.0062
Garnet Hathaway,0.0112,0.0106,0.0126,0.0125,0.0153
Nick Schmaltz,0.0083,0.0085,0.0097,0.0084,0.0197
Brendan Lemieux,0.0109,0.0101,0.0111,0.0108,0.0152
Ryan Donato,0.0138,0.0144,0.0153,0.0140,0.0170
Jack Roslovic,0.0105,0.0103,0.0107,0.0105,0.0186
Andrew Cogliano,0.0029,0.0036,0.0091,0.0065,0.0038
Milan Lucic,0.0051,0.0056,0.0070,0.0087,0.0088
Joel Armia,0.0112,0.0108,0.0124,0.0116,0.0058
Barclay Goodrow,0.0079,0.0079,0.0103,0.0086,0.0110
Jujhar Khaira,0.0064,0.0065,0.0084,0.0068,0.0095
Ryan Carpenter,0.0032,0.0036,0.0111,0.0044,0.0044
Tomas Nosek,0.0125,0.0128,0.0148,0.0141,0.0035
Pavel Zacha,0.0117,0.0115,0.0120,0.0109,0.0110
Roope Hintz,0.0152,0.0150,0.0155,0.0153,0.0218
Luke Kunin,0.0163,0.0164,0.0167,0.0166,0.0131
Zach Aston-Reese,0.0114,0.0113,0.0126,0.0115,0.0063
Filip Chytil,0.0151,0.0154,0.0155,0.0159,0.0099
Jason Spezza,0.0101,0.0102,0.0110,0.0203,0.0139
Austin Watson,0.0097,0.0100,0.0102,0.0109,0.0128
Cedric Paquette,0.0099,0.0096,0.0117,0.0105,0.0000
Warren Foegele,0.0131,0.0131,0.0178,0.0132,0.0103
Casey Mittelstadt,0.0109,0.0108,0.0110,0.0109,0.0096
Colton Sceviour,0.0085,0.0088,0.0104,0.0114,0.0072
Matt Martin,0.0069,0.0075,0.0087,0.0096,0.0037
Joel Eriksson Ek,0.0158,0.0163,0.0162,0.0160,0.0136
Noel Acciari,0.0105,0.0102,0.0118,0.0116,0.0141
Michael Rasmussen,0.0074,0.0070,0.0111,0.0073,0.0152
Nate Thompson,0.0022,0.0035,0.0057,0.0093,0.0031
Darren Helm,0.0050,0.0054,0.0091,0.0090,0.0103
Derek Grant,0.0098,0.0096,0.0116,0.0118,0.0148
Johan Larsson,0.0083,0.0086,0.0086,0.0096,0.0086
Rocco Grimaldi,0.0136,0.0142,0.0139,0.0146,0.0000
Pierre-Edouard Bellemare,0.0090,0.0095,0.0107,0.0162,0.0090
Andrew Mangiapane,0.0195,0.0195,0.0195,0.0196,0.0241
Trevor Lewis,0.0051,0.0051,0.0112,0.0089,0.0057
Sam Gagner,0.0087,0.0087,0.0126,0.0113,0.0140
Riley Nash,0.0031,0.0037,0.0068,0.0055,0.0000
Jean-Gabriel Pageau,0.0107,0.0103,0.0110,0.0118,0.0124
Conor Garland,0.0174,0.0170,0.0174,0.0173,0.0159
Tyler Pitlick,0.0103,0.0102,0.0112,0.0118,0.0025
Tage Thompson,0.0115,0.0117,0.0165,0.0115,0.0232
Chandler Stephenson,0.0106,0.0104,0.0109,0.0111,0.0114
Valeri Nichushkin,0.0105,0.0103,0.0116,0.0104,0.0194
Rudolfs Balcers,0.0117,0.0118,0.0143,0.0125,0.0133
Adam Gaudette,0.0120,0.0131,0.0130,0.0121,0.0051
Mason Appleton,0.0127,0.0127,0.0129,0.0128,0.0087
William Carrier,0.0115,0.0112,0.0146,0.0116,0.0126
Kevin Rooney,0.0081,0.0085,0.0089,0.0092,0.0085
Jesse Puljujarvi,0.0142,0.0143,0.0148,0.0145,0.0105
Trevor Moore,0.0114,0.0111,0.0140,0.0115,0.0101
Victor Rask,0.0103,0.0105,0.0105,0.0115,0.0169
Teddy Blueger,0.0081,0.0077,0.0084,0.0084,0.0097
Troy Terry,0.0088,0.0088,0.0101,0.0088,0.0231
Sam Steel,0.0094,0.0094,0.0095,0.0099,0.0078
Max Comtois,0.0207,0.0209,0.0209,0.0213,0.0093
Corey Perry,0.0074,0.0080,0.0097,0.0149,0.0135
Erik Haula,0.0101,0.0097,0.0117,0.0115,0.0144
Christian Dvorak,0.0116,0.0113,0.0135,0.0116,0.0135
Drake Batherson,0.0167,0.0167,0.0168,0.0168,0.0195
Brett Ritchie,0.0087,0.0091,0.0110,0.0094,0.0076
Juho Lammikko,0.0046,0.0049,0.0081,0.0051,0.0086
Carl Grundstrom,0.0114,0.0113,0.0115,0.0113,0.0159
Dillon Dube,0.0128,0.0128,0.0129,0.0128,0.0170
Nicolas Deslauriers,0.0073,0.0075,0.0102,0.0087,0.0086
Sammy Blais,0.0138,0.0145,0.0141,0.0147,0.0000
Max Jones,0.0096,0.0094,0.0129,0.0096,0.0000
Anders Bjork,0.0103,0.0098,0.0104,0.0103,0.0076
Denis Gurianov,0.0140,0.0137,0.0140,0.0139,0.0079
Jordan Kyrou,0.0199,0.0199,0.0200,0.0201,0.0204
Nathan Bastian,0.0068,0.0067,0.0115,0.0068,0.0125
Michael McLeod,0.0148,0.0148,0.0149,0.0150,0.0070
Victor Olofsson,0.0083,0.0086,0.0092,0.0085,0.0138
Martin Necas,0.0130,0.0134,0.0132,0.0135,0.0107
Isac Lundestrom,0.0117,0.0116,0.0118,0.0120,0.0115
Zack MacEwen,0.0035,0.0035,0.0089,0.0035,0.0042
Kailer Yamamoto,0.0095,0.0094,0.0134,0.0095,0.0133
Jaret Anderson-Dolan,0.0160,0.0162,0.0161,0.0167,0.0000
Eeli Tolvanen,0.0089,0.0088,0.0091,0.0090,0.0116
Alexandre Texier,0.0105,0.0097,0.0106,0.0105,0.0219
Filip Zadina,0.0049,0.0046,0.0096,0.0048,0.0066
Colin Blackwell,0.0152,0.0148,0.0153,0.0159,0.0130
Curtis Lazar,0.0127,0.0127,0.0128,0.0128,0.0110
Nicolas Aube-Kubel,0.0093,0.0085,0.0107,0.0089,0.0153
Nicolas Roy,0.0104,0.0103,0.0105,0.0104,0.0127
Kevin Stenlund,0.0112,0.0112,0.0113,0.0113,0.0000
Ryan Lomberg,0.0060,0.0061,0.0136,0.0063,0.0161
Trent Frederic,0.0094,0.0093,0.0095,0.0094,0.0121
Janne Kuokkanen,0.0109,0.0108,0.0110,0.0109,0.0057
Dylan Gambrell,0.0078,0.0074,0.0093,0.0077,0.0030
Eric Robinson,0.0118,0.0115,0.0119,0.0119,0.0104
Nico Sturm,0.0229,0.0226,0.0229,0.0229,0.0092
Blake Lizotte,0.0052,0.0052,0.0098,0.0053,0.0118
Dominik Kubalik,0.0232,0.0233,0.0231,0.0232,0.0120
Nick Suzuki,0.0101,0.0100,0.0119,0.0101,0.0085
Ilya Mikheyev,0.0113,0.0109,0.0139,0.0116,0.0193
Joel Farabee,0.0197,0.0200,0.0199,0.0204,0.0174
Sam Lafferty,0.0059,0.0051,0.0095,0.0059,0.0077
Pierre Engvall,0.0145,0.0144,0.0145,0.0146,0.0132
Carter Verhaeghe,0.0203,0.0208,0.0206,0.0203,0.0210
Jack Hughes,0.0094,0.0090,0.0142,0.0094,0.0234
Kaapo Kakko,0.0123,0.0121,0.0126,0.0130,0.0102
Matthew Highmore,0.0066,0.0065,0.0101,0.0066,0.0076
Yakov Trenin,0.0104,0.0103,0.0114,0.0104,0.0166
Gabriel Vilardi,0.0110,0.0110,0.0111,0.0113,0.0103
Morgan Geekie,0.0037,0.0035,0.0060,0.0035,0.0086
Jake Evans,0.0044,0.0044,0.0075,0.0044,0.0136
Mason Marchment,0.0045,0.0045,0.0121,0.0046,0.0238
Eetu Luostarinen,0.0067,0.0065,0.0079,0.0066,0.0078
Keegan Kolesar,0.0075,0.0074,0.0138,0.0074,0.0056
Brandon Hagel,0.0130,0.0130,0.0131,0.0131,0.0193
Jason Robertson,0.0222,0.0223,0.0223,0.0228,0.0245
Josh Norris,0.0149,0.0150,0.0151,0.0154,0.0195
Oliver Wahlstrom,0.0182,0.0182,0.0183,0.0189,0.0104
Kirill Kaprizov,0.0233,0.0233,0.0234,0.0234,0.0259
Yegor Sharangovich,0.0177,0.0177,0.0178,0.0179,0.0185
Nils Hoglander,0.0163,0.0163,0.0164,0.0170,0.0124
Alex Wennberg,0.0166,0.0162,0.0167,0.0169,0.0076
Pius Suter,0.0155,0.0154,0.0156,0.0155,0.0124
Alexis Lafrenière,0.0183,0.0186,0.0185,0.0202,0.0189
Tim Stützle,0.0131,0.0130,0.0134,0.0144,0.0118
Owen Tippett,0.0112,0.0111,0.0160,0.0114,0.0122
John Leonard,0.0049,0.0047,0.0112,0.0048,0.0069
Dylan Cozens,0.0070,0.0066,0.0107,0.0072,0.0103
Philipp Kurashev,0.0105,0.0104,0.0106,0.0108,0.0052
Mikhail Maltsev,0.0168,0.0168,0.0169,0.0170,0.0000
Tanner Kero,0.0072,0.0072,0.0072,0.0081,0.0000
Steven Lorentz,0.0044,0.0044,0.0097,0.0044,0.0115
