Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Deryk Engelland,D,4/3/1982,,,,0.077,0.071,0.104,0.080,0.128,0.110,0.085,0.090,0.090,0.074,,
Devon Toews,D,2/21/1994,,,,,,,,,,,,0.055,0.072,0.071,0.061
Dick Tarnstrom,D,1/20/1975,0.091,,,,,,,,,,,,,,
Dillon Heatherington,D,5/9/1995,,,,,,,,,,,,,,,
Dillon Simpson,D,2/10/1993,,,,,,,,,,,,,,,
Dion Phaneuf,D,4/10/1985,0.061,0.064,0.071,0.097,0.075,0.096,0.101,0.090,0.070,0.086,0.108,0.085,,,
Dmitri Kalinin,D,7/22/1980,0.080,0.071,,,,,,,,,,,,,
Dmitri Samorukov,D,6/16/1999,,,,,,,,,,,,,,,
Dmitry Korobov,D,3/12/1989,,,,,,,,,,,,,,,
Dmitry Kulikov,D,10/29/1990,,,0.105,0.078,0.083,0.095,0.071,0.077,0.094,0.082,0.070,0.091,0.078,0.061,0.076
Dmitry Orlov,D,7/23/1991,,,,,0.071,,0.077,,0.064,0.077,0.075,0.072,0.066,0.064,0.071
Doug Janik,D,3/26/1980,0.093,,,,,,,,,,,,,,
Dougie Hamilton,D,6/17/1993,,,,,,0.068,0.064,0.053,0.084,0.080,0.066,0.077,0.075,0.070,0.092
Douglas Murray,D,3/12/1980,0.073,0.069,0.070,0.093,0.124,0.129,0.155,,,,,,,,
Drew Bagnall,D,10/26/1983,,,,,,,,,,,,,,,
Drew Doughty,D,12/8/1989,,0.082,0.058,0.074,0.056,0.056,0.061,0.072,0.060,0.065,0.070,0.070,0.057,0.067,0.057
Drew Fata,D,7/28/1983,,,,,,,,,,,,,,,
Duncan Keith,D,7/16/1983,0.067,0.060,0.078,0.083,0.074,0.068,0.061,0.066,0.076,0.062,0.090,0.082,0.081,0.082,0.093
Duncan Siemens,D,9/7/1993,,,,,,,,,,,,,,,
Dustin Byfuglien,D,3/27/1985,0.045,0.041,0.046,0.059,0.054,0.063,0.055,0.049,0.063,0.067,0.072,0.059,,,
Duvie Westcott,D,10/30/1977,,,,,,,,,,,,,,,
Dylan Coghlan,D,2/19/1998,,,,,,,,,,,,,,,0.094
Dylan DeMelo,D,5/1/1993,,,,,,,,,0.080,,0.096,0.102,0.073,0.081,0.087
Dylan McIlrath,D,4/20/1992,,,,,,,,,0.088,,,,,,
Dylan Olsen,D,1/3/1991,,,,,,,0.088,0.095,,,,,,,
Dylan Reese,D,8/29/1984,,,,,,,,,,,,,,,
Dylan Samberg,D,1/24/1999,,,,,,,,,,,,,,,
Dysin Mayo,D,8/17/1996,,,,,,,,,,,,,,,0.093
Ed Jovanovski,D,6/26/1976,0.052,0.081,0.080,0.096,0.078,,0.082,,,,,,,,
Egor Yakovlev,D,9/17/1991,,,,,,,,,,,,,,,
Egor Zamula,D,3/30/2000,,,,,,,,,,,,,,,
Eric Brewer,D,4/17/1979,0.080,,0.092,0.078,0.101,0.099,0.072,0.087,,,,,,,
Eric Gelinas,D,5/8/1991,,,,,,,0.040,0.074,0.062,,,,,,
Eric Gryba,D,4/14/1988,,,,,,0.072,0.071,0.058,0.091,0.083,,,,,
Erik Brannstrom,D,9/2/1999,,,,,,,,,,,,,0.102,,0.074
Erik Burgdoerfer,D,12/11/1988,,,,,,,,,,,,,,,
Erik Cernak,D,5/28/1997,,,,,,,,,,,,0.067,0.065,0.047,0.064
Erik Gudbranson,D,1/7/1992,,,,,0.091,0.069,0.095,0.068,0.061,,0.092,0.068,0.065,0.083,0.059
Erik Gustafsson,D,12/15/1988,,,,,,,0.112,,0.077,,0.087,0.083,0.059,,0.071
Erik Johnson,D,3/21/1988,0.080,,0.064,0.094,0.084,0.102,0.091,0.105,0.129,0.104,0.096,0.081,0.086,,0.095
Erik Karlsson,D,5/31/1990,,,0.065,0.066,0.053,,0.066,0.062,0.102,0.125,0.083,0.070,0.069,0.073,0.055
Erik Reitz,D,7/29/1982,,0.118,,,,,,,,,,,,,
Esa Lindell,D,5/23/1994,,,,,,,,,,0.094,0.080,0.087,0.087,0.084,0.098
Ethan Bear,D,6/26/1997,,,,,,,,,,,,,0.080,0.071,0.057
Ethan Prow,D,11/17/1992,,,,,,,,,,,,,,,
Evan Bouchard,D,10/20/1999,,,,,,,,,,,,,,,0.087
Evan McEneny,D,5/22/1994,,,,,,,,,,,,,,,
Evan Oberg,D,2/16/1988,,,,,,,,,,,,,,,
Evgeny Medvedev,D,8/27/1982,,,,,,,,,0.046,,,,,,
Fedor Tyutin,D,7/19/1983,0.080,0.061,0.086,0.061,0.073,0.060,0.067,0.081,0.068,0.063,,,,,
Filip Hronek,D,11/2/1997,,,,,,,,,,,,0.055,0.060,0.054,0.064
Filip Kuba,D,12/29/1976,0.079,0.073,0.079,0.087,0.099,0.085,,,,,,,,,
Francis Bouillon,D,10/17/1975,0.086,0.057,0.068,0.065,0.058,0.065,0.082,,,,,,,,
Francois Beauchemin,D,6/4/1980,0.047,,0.086,0.114,0.082,0.102,0.110,0.079,0.125,0.089,0.100,,,,
Frank Corrado,D,3/26/1993,,,,,,,,,0.086,,,,,,
Frantisek Kaberle,D,11/8/1973,0.076,,,,,,,,,,,,,,
Freddy Meyer,D,1/4/1981,0.080,,0.086,,,,,,,,,,,,
Frederic Allard,D,12/27/1997,,,,,,,,,,,,,,,
Frédéric St-Denis,D,1/23/1986,,,,,,,,,,,,,,,
